Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%
2,The Battle at Lake Changjin,"$769,000,000",-,-,"$769,000,000",100%
3,F9: The Fast Saga,"$716,591,945","$173,005,945",24.1%,"$543,586,000",75.9%
4,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
5,Godzilla vs. Kong,"$467,863,133","$100,563,133",21.5%,"$367,300,000",78.5%
6,No Time to Die,"$460,407,600","$111,734,600",24.3%,"$348,673,000",75.7%
7,Shang-Chi and the Legend of the Ten Rings,"$416,154,607","$219,574,831",52.8%,"$196,579,776",47.2%
8,Black Widow,"$379,587,431","$183,651,655",48.4%,"$195,935,776",51.6%
9,Free Guy,"$332,691,068","$121,072,540",36.4%,"$211,618,528",63.6%
10,A Quiet Place Part II,"$297,372,261","$160,072,261",53.8%,"$137,300,000",46.2%
11,Venom: Let There Be Carnage,"$290,779,631","$175,179,631",60.2%,"$115,600,000",39.8%
12,Cruella,"$233,274,812","$86,103,234",36.9%,"$147,171,578",63.1%
13,Jungle Cruise,"$213,057,416","$116,804,494",54.8%,"$96,252,922",45.2%
14,"My Country, My Parents","$210,259,907","$144,129",<0.1%,"$210,115,778",99.9%
15,Raging Fire,"$205,832,216","$385,305",0.2%,"$205,446,911",99.8%
16,The Conjuring: The Devil Made Me Do It,"$201,965,074","$65,565,074",32.5%,"$136,400,000",67.5%
17,Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%
18,Cliff Walkers,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%
19,The Suicide Squad,"$167,400,219","$55,800,219",33.3%,"$111,600,000",66.7%
20,Space Jam: A New Legacy,"$162,828,072","$70,528,072",43.3%,"$92,300,000",56.7%
21,Peter Rabbit 2: The Runaway,"$153,736,536","$40,336,536",26.2%,"$113,400,000",73.8%
22,A Writer's Odyssey,"$150,123,320","$160,013",0.1%,"$149,963,307",99.9%
23,Dune,"$147,200,000","$17,500,000",11.9%,"$129,700,000",88.1%
24,Tom and Jerry,"$132,841,123","$46,041,123",34.7%,"$86,800,000",65.3%
25,Raya and the Last Dragon,"$130,281,158","$54,723,032",42%,"$75,558,126",58%
26,Sister,"$128,317,206",-,-,"$128,317,206",100%
27,PAW Patrol: The Movie,"$124,927,371","$40,127,371",32.1%,"$84,800,000",67.9%
28,The Boss Baby: Family Business,"$122,500,280","$57,300,280",46.8%,"$65,200,000",53.2%
29,My Love,"$114,016,434","$86,252",<0.1%,"$113,930,182",99.9%
30,Wrath of Man,"$103,966,489","$27,466,489",26.4%,"$76,500,000",73.6%
31,Detective Conan: The Scarlet Bullet,"$95,659,979",-,-,"$95,659,979",100%
32,Evangelion: 3.0+1.01 Thrice Upon a Time,"$92,246,218",-,-,"$92,246,218",100%
33,End Game,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
34,Old,"$90,112,510","$48,242,510",53.5%,"$41,870,000",46.5%
35,Mortal Kombat,"$83,601,013","$42,201,013",50.5%,"$41,400,000",49.5%
36,Boonie Bears: The Wild Life,"$77,864,685",-,-,"$77,864,685",100%
37,Candyman,"$77,144,225","$60,919,225",79%,"$16,225,000",21%
38,The Forever Purge,"$76,994,245","$44,539,245",57.8%,"$32,455,000",42.2%
39,1921,"$75,159,828",-,-,"$75,159,828",100%
40,Halloween Kills,"$71,829,620","$63,104,845",87.9%,"$8,724,775",12.1%
41,Hitman's Wife's Bodyguard,"$70,341,313","$38,014,727",54%,"$32,326,586",46%
42,The Addams Family 2,"$63,779,640","$45,111,640",70.7%,"$18,668,000",29.3%
43,Cloudy Mountain,"$58,211,240",-,-,"$58,211,240",100%
44,Belle: The Dragon and the Freckled Princess,"$57,642,121",-,-,"$57,642,121",100%
45,Avatar 2021 Re-release,"$57,566,409",-,-,"$57,566,409",100%
46,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
47,Nobody,"$55,405,035","$27,268,035",49.2%,"$28,137,000",50.8%
48,Upcoming,"$54,300,000",-,-,"$54,300,000",100%
49,Man in Love,"$52,946,097",-,-,"$52,946,097",100%
50,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
51,Escape Room: Tournament of Champions,"$51,788,958","$25,188,958",48.6%,"$26,600,000",51.4%
52,Luca,"$49,194,987",-,-,"$49,194,987",100%
53,Don't Breathe 2,"$47,238,038","$32,638,038",69.1%,"$14,600,000",30.9%
54,Love Will Tear Us Apart,"$44,972,521",-,-,"$44,972,521",100%
55,In the Heights,"$43,879,041","$29,879,041",68.1%,"$14,000,000",31.9%
56,Spirit Untamed,"$42,636,215","$17,635,215",41.4%,"$25,001,000",58.6%
57,Spiral,"$40,608,894","$23,216,862",57.2%,"$17,392,032",42.8%
58,Tokyo Revengers,"$39,563,158",-,-,"$39,563,158",100%
59,Nomadland,"$39,135,347","$3,700,000",9.5%,"$35,435,347",90.5%
60,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
